OMGHAI!
                                     -------- day 0 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            10                   20                  
Aged Brie                                                    2                    0                   
Elixir of the Mongoose                                       5                    7                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    15                   20                  
Backstage passes to a TAFKAL80ETC concert                    10                   49                  
Backstage passes to a TAFKAL80ETC concert                    5                    49                  
Conjured Mana Cake                                           3                    30                  

                                     -------- day 1 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            9                    19                  
Aged Brie                                                    1                    1                   
Elixir of the Mongoose                                       4                    6                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    14                   21                  
Backstage passes to a TAFKAL80ETC concert                    9                    50                  
Backstage passes to a TAFKAL80ETC concert                    4                    50                  
Conjured Mana Cake                                           2                    28                  

                                     -------- day 2 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            8                    18                  
Aged Brie                                                    0                    2                   
Elixir of the Mongoose                                       3                    5                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    13                   22                  
Backstage passes to a TAFKAL80ETC concert                    8                    50                  
Backstage passes to a TAFKAL80ETC concert                    3                    50                  
Conjured Mana Cake                                           1                    26                  

                                     -------- day 3 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            7                    17                  
Aged Brie                                                    -1                   4                   
Elixir of the Mongoose                                       2                    4                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    12                   23                  
Backstage passes to a TAFKAL80ETC concert                    7                    50                  
Backstage passes to a TAFKAL80ETC concert                    2                    50                  
Conjured Mana Cake                                           0                    24                  

                                     -------- day 4 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            6                    16                  
Aged Brie                                                    -2                   6                   
Elixir of the Mongoose                                       1                    3                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    11                   24                  
Backstage passes to a TAFKAL80ETC concert                    6                    50                  
Backstage passes to a TAFKAL80ETC concert                    1                    50                  
Conjured Mana Cake                                           -1                   20                  

                                     -------- day 5 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            5                    15                  
Aged Brie                                                    -3                   8                   
Elixir of the Mongoose                                       0                    2                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    10                   25                  
Backstage passes to a TAFKAL80ETC concert                    5                    50                  
Backstage passes to a TAFKAL80ETC concert                    0                    50                  
Conjured Mana Cake                                           -2                   16                  

                                     -------- day 6 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            4                    14                  
Aged Brie                                                    -4                   10                  
Elixir of the Mongoose                                       -1                   0                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    9                    28                  
Backstage passes to a TAFKAL80ETC concert                    4                    50                  
Backstage passes to a TAFKAL80ETC concert                    -1                   0                   
Conjured Mana Cake                                           -3                   12                  

                                     -------- day 7 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            3                    13                  
Aged Brie                                                    -5                   12                  
Elixir of the Mongoose                                       -2                   0                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    8                    31                  
Backstage passes to a TAFKAL80ETC concert                    3                    50                  
Backstage passes to a TAFKAL80ETC concert                    -2                   0                   
Conjured Mana Cake                                           -4                   8                   

                                     -------- day 8 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            2                    12                  
Aged Brie                                                    -6                   14                  
Elixir of the Mongoose                                       -3                   0                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    7                    34                  
Backstage passes to a TAFKAL80ETC concert                    2                    50                  
Backstage passes to a TAFKAL80ETC concert                    -3                   0                   
Conjured Mana Cake                                           -5                   4                   

                                     -------- day 9 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            1                    11                  
Aged Brie                                                    -7                   16                  
Elixir of the Mongoose                                       -4                   0                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    6                    37                  
Backstage passes to a TAFKAL80ETC concert                    1                    50                  
Backstage passes to a TAFKAL80ETC concert                    -4                   0                   
Conjured Mana Cake                                           -6                   0                   

                                    -------- day 10 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            0                    10                  
Aged Brie                                                    -8                   18                  
Elixir of the Mongoose                                       -5                   0                   
Sulfuras, Hand of Ragnaros                                   0                    80                  
Sulfuras, Hand of Ragnaros                                   -1                   80                  
Backstage passes to a TAFKAL80ETC concert                    5                    40                  
Backstage passes to a TAFKAL80ETC concert                    0                    50                  
Backstage passes to a TAFKAL80ETC concert                    -5                   0                   
Conjured Mana Cake                                           -7                   0                   

                                    -------- day 11 --------
Name                                                         SellIn               Quality             
+5 Dexterity Vest                                            -1                   8                   
Aged Brie                                                    -9                   20                  
